А	а 
стремящимся	с т р е м я щ и м с я 
студенчӗсем	с т у д е н ч ӗ с е м 
субтитрсене	с у б т и т р с е н е 
субъекчӗсем	с у б ъ е к ч ӗ с е м 
суранланман	с у р а н л а н м а н 
сутакансене	с у т а к а н с е н е 
съезчӗсенче	с ъ е з ч ӗ с е н ч е 
сӑмахӗсемпе	с ӑ м а х ӗ с е м п е 
таврапӗлӳпе	т а в р а п ӗ л ӳ п е 
тайманнисен	т а й м а н н и с е н 
такаксемшӗн	т а к а к с е м ш ӗ н 
танлашмалла	т а н л а ш м а л л а 
танлаштарса	т а н л а ш т а р с а 
танлаштарӑм	т а н л а ш т а р ӑ м 
тантӑшӗсене	т а н т ӑ ш ӗ с е н е 
тарӑнӑшӗнче	т а р ӑ н ӑ ш ӗ н ч е 
тасалӑхӗшӗн	т а с а л ӑ х ӗ ш ӗ н 
текенсенчен	т е к е н с е н ч е н 
телеканалпа	т е л е к а н а л п а 
телекуравҫӑ	т е л е к у р а в ҫ ӑ 
телекӑларӑм	т е л е к ӑ л а р ӑ м 
температури	т е м п е р а т у р и 
территорийӗ	т е р р и т о р и й ӗ 
тивӗҫеймерӗ	т и в ӗ ҫ е й м е р ӗ 
тирпейлекен	т и р п е й л е к е н 
тирпейлесси	т и р п е й л е с с и 
тракторсене	т р а к т о р с е н е 
транспортне	т р а н с п о р т н е 
транспортпа	т р а н с п о р т п а 
транспортри	т р а н с п о р т р и 
транспорчӗн	т р а н с п о р ч ӗ н 
троллейбуса	т р о л л е й б у с а 
тултарнӑччӗ	т у л т а р н ӑ ч ч ӗ 
тыттарасшӑн	т ы т т а р а с ш ӑ н 
тыттармалла	т ы т т а р м а л л а 
тӑванӗсемпе	т ӑ в а н ӗ с е м п е 
тӑварланине	т ӑ в а р л а н и н е 
тӑваткалшӑн	т ӑ в а т к а л ш ӑ н 
тӑкаклантӑр	т ӑ к а к л а н т ӑ р 
тӑкаксемшӗн	т ӑ к а к с е м ш ӗ н 
тӑрӑхсенчен	т ӑ р ӑ х с е н ч е н 
тӑрӑхӗсенче	т ӑ р ӑ х ӗ с е н ч е 
тӑхӑнтартнӑ	т ӑ х ӑ н т а р т н ӑ 
тӗпренчӗкне	т ӗ п р е н ч ӗ к н е 
тӗпчевҫисем	т ӗ п ч е в ҫ и с е м 
тӗпчевҫӗсем	т ӗ п ч е в ҫ ӗ с е м 
тӗрӗслетпӗр	т ӗ р ӗ с л е т п ӗ р 
тӗрӗслӗхшӗн	т ӗ р ӗ с л ӗ х ш ӗ н 
тӳлекенсене	т ӳ л е к е н с е н е 
тӳрленмелли	т ӳ р л е н м е л л и 
ултьтрасасӑ	у л т ь т р а с а с ӑ 
улшӑнассине	у л ш ӑ н а с с и н е 
улӑштарасси	у л ӑ ш т а р а с с и 
улӑштараҫҫӗ	у л ӑ ш т а р а ҫ ҫ ӗ 
улӑштарнине	у л ӑ ш т а р н и н е 
управленийӗ	у п р а в л е н и й ӗ 
управленине	у п р а в л е н и н е 
упрамаллине	у п р а м а л л и н е 
условисемпе	у с л о в и с е м п е 
условисенче	у с л о в и с е н ч е 
участковӑйӗ	у ч а с т к о в ӑ й ӗ 
учрежденине	у ч р е ж д е н и н е 
ушкӑнланать	у ш к ӑ н л а н а т ь 
ушкӑнӗсенче	у ш к ӑ н ӗ с е н ч е 
уҫӑмлатасси	у ҫ ӑ м л а т а с с и 
уҫӑмлатаҫҫӗ	у ҫ ӑ м л а т а ҫ ҫ ӗ 
факультетне	ф а к у л ь т е т н е 
факультечӗн	ф а к у л ь т е ч ӗ н 
федерацийӗн	ф е д е р а ц и й ӗ н 
фестивальне	ф е с т и в а л ь н е 
фестивальте	ф е с т и в а л ь т е 
филармонире	ф и л а р м о н и р е 
филармонири	ф и л а р м о н и р и 
хавлахатарӗ	х а в л а х а т а р ӗ 
хайлавӗсене	х а й л а в ӗ с е н е 
хаклаймӑпӑр	х а к л а й м ӑ п ӑ р 
халалланине	х а л а л л а н и н е 
халӑхӑмӑрӑн	х а л ӑ х ӑ м ӑ р ӑ н 
харпӑрлӑхне	х а р п ӑ р л ӑ х н е 
хастарлӑхне	х а с т а р л ӑ х н е 
хастарӗсене	х а с т а р ӗ с е н е 
хатӗрлесшӗн	х а т ӗ р л е с ш ӗ н 
хатӗрӗсемпе	х а т ӗ р ӗ с е м п е 
хаҫатсенчен	х а ҫ а т с е н ч е н 
хаҫачӗсенче	х а ҫ а ч ӗ с е н ч е 
химиотерапи	х и м и о т е р а п и 
хирӗҫтӑрура	х и р ӗ ҫ т ӑ р у р а 
хирӗҫтӑрӑва	х и р ӗ ҫ т ӑ р ӑ в а 
хисепӗмӗрпе	х и с е п ӗ м ӗ р п е 
хуралҫисене	х у р а л ҫ и с е н е 
хуралҫӑсене	х у р а л ҫ ӑ с е н е 
хускатасшӑн	х у с к а т а с ш ӑ н 
хускатмалла	х у с к а т м а л л а 
хутшӑнмалла	х у т ш ӑ н м а л л а 
хуҫалӑхӗнче	х у ҫ а л ӑ х ӗ н ч е 
хыснисенчен	х ы с н и с е н ч е н 
хӑваламаҫҫӗ	х ӑ в а л а м а ҫ ҫ ӗ 
хӑварассипе	х ӑ в а р а с с и п е 
хӑвӑртлӑхлӑ	х ӑ в ӑ р т л ӑ х л ӑ 
хӑвӑртлӑхпа	х ӑ в ӑ р т л ӑ х п а 
хӑйтытӑмлӑх	х ӑ й т ы т ӑ м л ӑ х 
хӑрушсӑрлӑх	х ӑ р у ш с ӑ р л ӑ х 
хӑтлавӗнече	х ӑ т л а в ӗ н е ч е 
хӑтланнишӗн	х ӑ т л а н н и ш ӗ н 
хӗрарӑмсене	х ӗ р а р ӑ м с е н е 
хӗрарӑмӗсем	х ӗ р а р ӑ м ӗ с е м 
хӗрарӑмӗсен	х ӗ р а р ӑ м ӗ с е н 
хӗсӗнкелесе	х ӗ с ӗ н к е л е с е 
хӗсӗрленипе	х ӗ с ӗ р л е н и п е 
хӳтӗленӗшӗн	х ӳ т ӗ л е н ӗ ш ӗ н 
хӳтӗлессипе	х ӳ т ӗ л е с с и п е 
чарӑнусенче	ч а р ӑ н у с е н ч е 
чӑвашлӑхшӑн	ч ӑ в а ш л ӑ х ш ӑ н 
чӑвашӑннипе	ч ӑ в а ш ӑ н н и п е 
чӑмӑртанать	ч ӑ м ӑ р т а н а т ь 
чӑрмантарма	ч ӑ р м а н т а р м а 
чӑтӑмсӑррӑн	ч ӑ т ӑ м с ӑ р р ӑ н 
чӗлхисенчен	ч ӗ л х и с е н ч е н 
чӗркуҫҫирен	ч ӗ р к у ҫ ҫ и р е н 
шайлаштарма	ш а й л а ш т а р м а 
шанманнисем	ш а н м а н н и с е м 
шикленмелли	ш и к л е н м е л л и 
шиклентерет	ш и к л е н т е р е т 
шухӑшлисене	ш у х ӑ ш л и с е н е 
шӑпӑрлансем	ш ӑ п ӑ р л а н с е м 
ыйтнисенчен	ы й т н и с е н ч е н 
ыйтӑвӗсемпе	ы й т ӑ в ӗ с е м п е 
экземплярне	э к з е м п л я р н е 
экземплярпа	э к з е м п л я р п а 
экономикӑна	э к о н о м и к ӑ н а 
экскурсисем	э к с к у р с и с е м 
экспертизин	э к с п е р т и з и н 
эксперчӗсем	э к с п е р ч ӗ с е м 
элчелӗхӗнче	э л ч е л ӗ х ӗ н ч е 
энциклопеди	э н ц и к л о п е д и 
эрнекунччен	э р н е к у н ч ч е н 
этнопедагог	э т н о п е д а г о г 
юнармеецсем	ю н а р м е е ц с е м 
юратакансем	ю р а т а к а н с е м 
юханшывӗнче	ю х а н ш ы в ӗ н ч е 
ярӑнтараҫҫӗ	я р ӑ н т а р а ҫ ҫ ӗ 
Ҫутҫанталӑк	ҫ у т ҫ а н т а л ӑ к 
Ҫырмапуҫран	ҫ ы р м а п у ҫ р а н 
Ҫӗнтерӳҫине	ҫ ӗ н т е р ӳ ҫ и н е 
Ҫӗнӗлӗхсене	ҫ ӗ н ӗ л ӗ х с е н е 
ҫавнашкалах	ҫ а в н а ш к а л а х 
ҫамрӑксемпе	ҫ а м р ӑ к с е м п е 
ҫамрӑксенче	ҫ а м р ӑ к с е н ч е 
ҫирӗплетмен	ҫ и р ӗ п л е т м е н 
ҫулталӑкран	ҫ у л т а л ӑ к р а н 
ҫунтармалли	ҫ у н т а р м а л л и 
ҫуралнӑскер	ҫ у р а л н ӑ с к е р 
ҫутҫанталӑк	ҫ у т ҫ а н т а л ӑ к 
ҫыннисемшӗн	ҫ ы н н и с е м ш ӗ н 
ҫыхӑннисене	ҫ ы х ӑ н н и с е н е 
ҫыхӑнтарать	ҫ ы х ӑ н т а р а т ь 
ҫыхӑнтарчӗҫ	ҫ ы х ӑ н т а р ч ӗ ҫ 
ҫӑлавҫӑсене	ҫ ӑ л а в ҫ ӑ с е н е 
ҫӑмӑллатать	ҫ ӑ м ӑ л л а т а т ь 
ҫӗклекенсем	ҫ ӗ к л е к е н с е м 
ҫӗнетмешкӗн	ҫ ӗ н е т м е ш к ӗ н 
ҫӗнтерӳҫине	ҫ ӗ н т е р ӳ ҫ и н е 
ҫӗршывсенчи	ҫ ӗ р ш ы в с е н ч и 
ӑмӑртусенче	ӑ м ӑ р т у с е н ч е 
ӑнлавсенчен	ӑ н л а в с е н ч е н 
ӑнланманлӑх	ӑ н л а н м а н л ӑ х 
ӑнланмастӑп	ӑ н л а н м а с т ӑ п 
ӑслӑлӑхӗсен	ӑ с л ӑ л ӑ х ӗ с е н 
ӑсчахсенчен	ӑ с ч а х с е н ч е н 
ӗнентерекен	ӗ н е н т е р е к е н 
ӗнентереҫҫӗ	ӗ н е н т е р е ҫ ҫ ӗ 
ӗҫлемеллине	ӗ ҫ л е м е л л и н е 
ӗҫлеменнине	ӗ ҫ л е м е н н и н е 
ӳстерессипе	ӳ с т е р е с с и п е 
Администраци	а д м и н и с т р а ц и 
Васильевичӑн	в а с и л ь е в и ч ӑ н 
Вӗренекенсем	в ӗ р е н е к е н с е м 
Гостехнадзор	г о с т е х н а д з о р 
Димитриевӑна	д и м и т р и е в ӑ н а 
Журналистсем	ж у р н а л и с т с е м 
Инспекторсем	и н с п е к т о р с е м 
Йӗркелӳҫӗсем	й ӗ р к е л ӳ ҫ ӗ с е м 
Казахстанран	к а з а х с т а н р а н 
Кинофильмсем	к и н о ф и л ь м с е м 
Киноӳнерӗнчи	к и н о ӳ н е р ӗ н ч и 
Коммунистсен	к о м м у н и с т с е н 
Комсомольски	к о м с о м о л ь с к и 
Конституцине	к о н с т и т у ц и н е 
Ленинградран	л е н и н г р а д р а н 
Мероприятине	м е р о п р и я т и н е 
Мясниковсене	м я с н и к о в с е н е 
Навальныйшӑн	н а в а л ь н ы й ш ӑ н 
Павильонсене	п а в и л ь о н с е н е 
Пархикассине	п а р х и к а с с и н е 
Патӑрьелӗнче	п а т ӑ р ь е л ӗ н ч е 
Подмосковные	п о д м о с к о в н ы е 
Подольскисем	п о д о л ь с к и с е м 
Пословскийне	п о с л о в с к и й н е 
Предприятире	п р е д п р и я т и р е 
Председателӗ	п р е д с е д а т е л ӗ 
Пурнӑҫланать	п у р н ӑ ҫ л а н а т ь 
Пушкӑртстана	п у ш к ӑ р т с т а н а 
Пуянкассинче	п у я н к а с с и н ч е 
Пӑрахутсемпе	п ӑ р а х у т с е м п е 
Пӗлменнисене	п ӗ л м е н н и с е н е 
Реорганизаци	р е о р г а н и з а ц и 
Республикари	р е с п у б л и к а р и 
Республикине	р е с п у б л и к и н е 
Республикӑра	р е с п у б л и к ӑ р а 
Республикӑри	р е с п у б л и к ӑ р и 
Рособрнадзор	р о с о б р н а д з о р 
Святочевский	с в я т о ч е в с к и й 
Статистикӑна	с т а т и с т и к ӑ н а 
Строительсем	с т р о и т е л ь с е м 
Стройминӗнче	с т р о й м и н ӗ н ч е 
Тольяттинчен	т о л ь я т т и н ч е н 
Троллейбусӑн	т р о л л е й б у с ӑ н 
Тӑванӗсенчен	т ӑ в а н ӗ с е н ч е н 
Тӗпчевҫӗсене	т ӗ п ч е в ҫ ӗ с е н е 
Хабаровскран	х а б а р о в с к р а н 
Хайхискерсем	х а й х и с к е р с е м 
Хуракассинче	х у р а к а с с и н ч е 
Хуракассисем	х у р а к а с с и с е м 
Хӗвелтухӑҫне	х ӗ в е л т у х ӑ ҫ н е 
Чӑвашрадиора	ч ӑ в а ш р а д и о р а 
Чӑвашфильмпа	ч ӑ в а ш ф и л ь м п а 
автономийӗпе	а в т о н о м и й ӗ п е 
автопавильон	а в т о п а в и л ь о н 
администраци	а д м и н и с т р а ц и 
академийӗнче	а к а д е м и й ӗ н ч е 
анестезиолог	а н е с т е з и о л о г 
ансатлатасси	а н с а т л а т а с с и 
аптӑранӑскер	а п т ӑ р а н ӑ с к е р 
артисчӗсемпе	а р т и с ч ӗ с е м п е 
ассоциацийӗн	а с с о ц и а ц и й ӗ н 
асӑрханмалли	а с ӑ р х а н м а л л и 
асӑрханмасӑр	а с ӑ р х а н м а с ӑ р 
асӑрхаттарса	а с ӑ р х а т т а р с а 
атрибутикӑпа	а т р и б у т и к ӑ п а 
ветеранӗсене	в е т е р а н ӗ с е н е 
ветеринарипе	в е т е р и н а р и п е 
видеофайлсем	в и д е о ф а й л с е м 
виҫҫӗмӗшӗнче	в и ҫ ҫ ӗ м ӗ ш ӗ н ч е 
водительсене	в о д и т е л ь с е н е 
вӑрттӑнлӑхра	в ӑ р т т ӑ н л ӑ х р а 
вӗренекенсем	в ӗ р е н е к е н с е м 
вӗренекенсен	в ӗ р е н е к е н с е н 
вӗрентекенӗн	в ӗ р е н т е к е н ӗ н 
вӗрентессине	в ӗ р е н т е с с и н е 
вӗрентӗвӗнче	в ӗ р е н т ӗ в ӗ н ч е 
гастрольсене	г а с т р о л ь с е н е 
гидроизоляци	г и д р о и з о л я ц и 
делегачӗсене	д е л е г а ч ӗ с е н е 
демократиллӗ	д е м о к р а т и л л ӗ 
деятельность	д е я т е л ь н о с т ь 
диоксициклин	д и о к с и ц и к л и н 
диссертацине	д и с с е р т а ц и н е 
ертӳлӗхӗсене	е р т ӳ л ӗ х ӗ с е н е 
ертӳҫисенчен	е р т ӳ ҫ и с е н ч е н 
естественным	е с т е с т в е н н ы м 
журналистсен	ж у р н а л и с т с е н 
заповедникӗн	з а п о в е д н и к ӗ н 
издательство	и з д а т е л ь с т в о 
изоляторӗнче	и з о л я т о р ӗ н ч е 
иккӗлентернӗ	и к к ӗ л е н т е р н ӗ 
инспекторсем	и н с п е к т о р с е м 
инспекторсен	и н с п е к т о р с е н 
институтӗнче	и н с т и т у т ӗ н ч е 
инструментне	и н с т р у м е н т н е 
интересӗсене	и н т е р е с ӗ с е н е 
ирттерессине	и р т т е р е с с и н е 
ирттерессипе	и р т т е р е с с и п е 
искусствисен	и с к у с с т в и с е н 
искусствӑсен	и с к у с с т в ӑ с е н 
итленисенчен	и т л е н и с е н ч е н 
йывӑрлӑхсене	й ы в ӑ р л ӑ х с е н е 
йыхравланине	й ы х р а в л а н и н е 
йышӑнакансем	й ы ш ӑ н а к а н с е м 
йӗркеленекен	й ӗ р к е л е н е к е н 
йӗркеленеҫҫӗ	й ӗ р к е л е н е ҫ ҫ ӗ 
йӗркеленӗччӗ	й ӗ р к е л е н ӗ ч ч ӗ 
йӗркелессине	й ӗ р к е л е с с и н е 
йӗркелӳҫӗсем	й ӗ р к е л ӳ ҫ ӗ с е м 
кавэнщикӗсем	к а в э н щ и к ӗ с е м 
калаҫакансем	к а л а ҫ а к а н с е м 
канашлӑвӗнче	к а н а ш л ӑ в ӗ н ч е 
качественные	к а ч е с т в е н н ы е 
кириллицӑран	к и р и л л и ц ӑ р а н 
коллективсем	к о л л е к т и в с е м 
командующийӗ	к о м а н д у ю щ и й ӗ 
коммунистсен	к о м м у н и с т с е н 
комплекссене	к о м п л е к с с е н е 
комплексӗнче	к о м п л е к с ӗ н ч е 
композиторпа	к о м п о з и т о р п а 
конкурссенче	к о н к у р с с е н ч е 
конкурсӗсене	к о н к у р с ӗ с е н е 
конференцийӗ	к о н ф е р е н ц и й ӗ 
конференцире	к о н ф е р е н ц и р е 
концерчӗсене	к о н ц е р ч ӗ с е н е 
корпорацийӗн	к о р п о р а ц и й ӗ н 
коэффициенчӗ	к о э ф ф и ц и е н ч ӗ 
кулинарӗсене	к у л и н а р ӗ с е н е 
кӑларакансем	к ӑ л а р а к а н с е м 
кӑларассишӗн	к ӑ л а р а с с и ш ӗ н 
кӑларӑмӗсене	к ӑ л а р ӑ м ӗ с е н е 
кӑтартассине	к ӑ т а р т а с с и н е 
кӑтартусемпе	к ӑ т а р т у с е м п е 
кӑтартӑвӗсем	к ӑ т а р т ӑ в ӗ с е м 
лабораторийӗ	л а б о р а т о р и й ӗ 
лабораторире	л а б о р а т о р и р е 
литературине	л и т е р а т у р и н е 
литературӑпа	л и т е р а т у р ӑ п а 
лӑплантарать	л ӑ п л а н т а р а т ь 
малтанхиллех	м а л т а н х и л л е х 
манифестацие	м а н и ф е с т а ц и е 
математикӑпа	м а т е м а т и к ӑ п а 
материалсене	м а т е р и а л с е н е 
мелодраминче	м е л о д р а м и н ч е 
мелодрамӑсем	м е л о д р а м ӑ с е м 
мероприятийӗ	м е р о п р и я т и й ӗ 
мероприятипе	м е р о п р и я т и п е 
методистӗнче	м е т о д и с т ӗ н ч е 
микрорайонта	м и к р о р а й о н т а 
микрорайонтӑ	м и к р о р а й о н т ӑ 
министерстви	м и н и с т е р с т в и 
министерство	м и н и с т е р с т в о 
министрсемпе	м и н и с т р с е м п е 
мыслительную	м ы с л и т е л ь н у ю 
мӗшӗнчеЧӑваш	м ӗ ш ӗ н ч е ч ӑ в а ш 
наградӑсемпе	н а г р а д ӑ с е м п е 
национальной	н а ц и о н а л ь н о й 
нейрохирургӗ	н е й р о х и р у р г ӗ 
нумайланнине	н у м а й л а н н и н е 
облаҫӗсенчен	о б л а ҫ ӗ с е н ч е н 
определяется	о п р е д е л я е т с я 
организацийӗ	о р г а н и з а ц и й ӗ 
организацине	о р г а н и з а ц и н е 
органӗсенчен	о р г а н ӗ с е н ч е н 
орнитологсем	о р н и т о л о г с е м 
осуществляет	о с у щ е с т в л я е т 
пайташӗсемпе	п а й т а ш ӗ с е м п е 
паллаштарать	п а л л а ш т а р а т ь 
палӑртассипе	п а л ӑ р т а с с и п е 
палӑртаятпӑр	п а л ӑ р т а я т п ӑ р 
парӑмлисемпе	п а р ӑ м л и с е м п е 
парӑннӑскере	п а р ӑ н н ӑ с к е р е 
персоналӗсен	п е р с о н а л ӗ с е н 
пичетлемелли	п и ч е т л е м е л л и 
пичетлессине	п и ч е т л е с с и н е 
портречӗсене	п о р т р е ч ӗ с е н е 
правилисемпе	п р а в и л и с е м п е 
предприятийӗ	п р е д п р и я т и й ӗ 
предприятипе	п р е д п р и я т и п е 
предприятире	п р е д п р и я т и р е 
предприятири	п р е д п р и я т и р и 
председателӗ	п р е д с е д а т е л ӗ 
представлени	п р е д с т а в л е н и 
предствалени	п р е д с т в а л е н и 
президентсем	п р е з и д е н т с е м 
президенчӗпе	п р е з и д е н ч ӗ п е 
премьерӑсене	п р е м ь е р ӑ с е н е 
преступление	п р е с т у п л е н и е 
провинцийӗпе	п р о в и н ц и й ӗ п е 
провокациллӗ	п р о в о к а ц и л л ӗ 
программинче	п р о г р а м м и н ч е 
программисен	п р о г р а м м и с е н 
программӑран	п р о г р а м м ӑ р а н 
программӑсем	п р о г р а м м ӑ с е м 
продукцийӗпе	п р о д у к ц и й ӗ п е 
проекчӗсемпе	п р о е к ч ӗ с е м п е 
производство	п р о и з в о д с т в о 
происшествие	п р о и с ш е с т в и е 
промышленноҫ	п р о м ы ш л е н н о ҫ 
проспектӗнче	п р о с п е к т ӗ н ч е 
проспектӗнчи	п р о с п е к т ӗ н ч и 
профилактика	п р о ф и л а к т и к а 
пулаканнисем	п у л а к а н н и с е м 
пултарассине	п у л т а р а с с и н е 
пултарулӑхне	п у л т а р у л ӑ х н е 
пултарулӑхӗн	п у л т а р у л ӑ х ӗ н 
пульницинчен	п у л ь н и ц и н ч е н 
пульницӑсене	п у л ь н и ц ӑ с е н е 
пуплерӗшӗнче	п у п л е р ӗ ш ӗ н ч е 
пурнӑҫланать	п у р н ӑ ҫ л а н а т ь 
пурнӑҫланине	п у р н ӑ ҫ л а н и н е 
пурнӑҫлассин	п у р н ӑ ҫ л а с с и н 
пурӑнакансем	п у р ӑ н а к а н с е м 
пусӑрӑнтарнӑ	п у с ӑ р ӑ н т а р н ӑ 
пуҫламӑшӗнче	п у ҫ л а м ӑ ш ӗ н ч е 
пуҫланӑранпа	п у ҫ л а н ӑ р а н п а 
пуҫтарманччӗ	п у ҫ т а р м а н ч ч ӗ 
пыраканнисем	п ы р а к а н н и с е м 
пӑрахмаллине	п ӑ р а х м а л л и н е 
пӑрахӑҫланнӑ	п ӑ р а х ӑ ҫ л а н н ӑ 
пӑхӑнманнине	п ӑ х ӑ н м а н н и н е 
пӑшӑрханнине	п ӑ ш ӑ р х а н н и н е 
пӗлӗшӗсенчен	п ӗ л ӗ ш ӗ с е н ч е н 
пӗрлештерсен	п ӗ р л е ш т е р с е н 
пӗрлешӗвӗсен	п ӗ р л е ш ӗ в ӗ с е н 
пӗртанлӑхӗпе	п ӗ р т а н л ӑ х ӗ п е 
пӗтӗмлетӳллӗ	п ӗ т ӗ м л е т ӳ л л ӗ 
пӗтӗмлетӳсем	п ӗ т ӗ м л е т ӳ с е м 
пӗчӗкленесси	п ӗ ч ӗ к л е н е с с и 
пӗчӗклетесси	п ӗ ч ӗ к л е т е с с и 
регионсенчен	р е г и о н с е н ч е н 
редакторӗнче	р е д а к т о р ӗ н ч е 
режиссерӗсем	р е ж и с с е р ӗ с е м 
республикӑна	р е с п у б л и к ӑ н а 
республикӑпа	р е с п у б л и к ӑ п а 
республикӑра	р е с п у б л и к ӑ р а 
республикӑри	р е с п у б л и к ӑ р и 
саккунлӑхӗпе	с а к к у н л ӑ х ӗ п е 
саманчӗсемпе	с а м а н ч ӗ с е м п е 
санитаркӑсем	с а н и т а р к ӑ с е м 
сиенсӗрлетес	с и е н с ӗ р л е т е с 
спектакльсем	с п е к т а к л ь с е м 
специального	с п е ц и а л ь н о г о 
столовӑйӗнчи	с т о л о в ӑ й ӗ н ч и 
субъектсенче	с у б ъ е к т с е н ч е 
субъекчӗсене	с у б ъ е к ч ӗ с е н е 
сыхлассинчен	с ы х л а с с и н ч е н 
сӑнӳкерчӗкне	с ӑ н ӳ к е р ч ӗ к н е 
танлаштарсан	т а н л а ш т а р с а н 
танлаштарӑма	т а н л а ш т а р ӑ м а 
тапаҫланнине	т а п а ҫ л а н н и н е 
тасамарланнӑ	т а с а м а р л а н н ӑ 
тахҫантанпах	т а х ҫ а н т а н п а х 
телекомпанин	т е л е к о м п а н и н 
телефонӗсене	т е л е ф о н ӗ с е н е 
техникумӗнче	т е х н и к у м ӗ н ч е 
технологиллӗ	т е х н о л о г и л л ӗ 
тивӗҫтересси	т и в ӗ ҫ т е р е с с и 
тивӗҫтермест	т и в ӗ ҫ т е р м е с т 
тивӗҫӗсенчен	т и в ӗ ҫ ӗ с е н ч е н 
тимлемеллине	т и м л е м е л л и н е 
типографинче	т и п о г р а ф и н ч е 
тирпейсӗрлӗх	т и р п е й с ӗ р л ӗ х 
троллебуссем	т р о л л е б у с с е м 
турткалашман	т у р т к а л а ш м а н 
тухтӑрсенчен	т у х т ӑ р с е н ч е н 
тыттарассине	т ы т т а р а с с и н е 
тӑвайккинчен	т ӑ в а й к к и н ч е н 
тӑвасшӑннине	т ӑ в а с ш ӑ н н и н е 
тӑрӑшакансем	т ӑ р ӑ ш а к а н с е м 
тӗпчевӗсемпе	т ӗ п ч е в ӗ с е м п е 
тӗрӗслемелле	т ӗ р ӗ с л е м е л л е 
уйӑхӗнченпех	у й ӑ х ӗ н ч е н п е х 
университечӗ	у н и в е р с и т е ч ӗ 
употребления	у п о т р е б л е н и я 
управленийӗн	у п р а в л е н и й ӗ н 
управленинче	у п р а в л е н и н ч е 
усламҫӑсемпе	у с л а м ҫ ӑ с е м п е 
утилизацилӗр	у т и л и з а ц и л ӗ р 
учрежденийӗн	у ч р е ж д е н и й ӗ н 
учрежденисен	у ч р е ж д е н и с е н 
фестивальсен	ф е с т и в а л ь с е н 
фестивальтен	ф е с т и в а л ь т е н 
фитосанитари	ф и т о с а н и т а р и 
хамӑрлатӑпӑр	х а м ӑ р л а т ӑ п ӑ р 
хастарлӑхӗпе	х а с т а р л ӑ х ӗ п е 
хатӗрлемелле	х а т ӗ р л е м е л л е 
хатӗрленеҫҫӗ	х а т ӗ р л е н е ҫ ҫ ӗ 
хатӗрленӗшӗн	х а т ӗ р л е н ӗ ш ӗ н 
хуралҫӑсемпе	х у р а л ҫ ӑ с е м п е 
хутшӑнӑвӗсен	х у т ш ӑ н ӑ в ӗ с е н 
хыпарланишӗн	х ы п а р л а н и ш ӗ н 
хыпарланӑччӗ	х ы п а р л а н ӑ ч ч ӗ 
хӑварассишӗн	х ӑ в а р а с с и ш ӗ н 
хӑпартассипе	х ӑ п а р т а с с и п е 
хӑпартмашкӑн	х ӑ п а р т м а ш к ӑ н 
хӑрушсӑрлӑхӗ	х ӑ р у ш с ӑ р л ӑ х ӗ 
хӗрарӑмӗнчен	х ӗ р а р ӑ м ӗ н ч е н 
хӗресленекен	х ӗ р е с л е н е к е н 
хӗрупраҫсене	х ӗ р у п р а ҫ с е н е 
хӳтӗлевҫисем	х ӳ т ӗ л е в ҫ и с е м 
хӳтӗленмелли	х ӳ т ӗ л е н м е л л и 
чебоксарском	ч е б о к с а р с к о м 
чиновникӗсем	ч и н о в н и к ӗ с е м 
чӑрмантарать	ч ӑ р м а н т а р а т ь 
шиклентермен	ш и к л е н т е р м е н 
штукатуркӑпа	ш т у к а т у р к ӑ п а 
шухӑшламалла	ш у х ӑ ш л а м а л л а 
шухӑшламасть	ш у х ӑ ш л а м а с т ь 
шухӑшланӑран	ш у х ӑ ш л а н ӑ р а н 
шӑнкӑравлама	ш ӑ н к ӑ р а в л а м а 
шӑнкӑравлани	ш ӑ н к ӑ р а в л а н и 
шӑнкӑравланӑ	ш ӑ н к ӑ р а в л а н ӑ 
шӑнкӑравласа	ш ӑ н к ӑ р а в л а с а 
шӑпӑрлансене	ш ӑ п ӑ р л а н с е н е 
эвакуациленӗ	э в а к у а ц и л е н ӗ 
экспонатсене	э к с п о н а т с е н е 
экстремистла	э к с т р е м и с т л а 
энергетиксем	э н е р г е т и к с е м 
явӑҫтармалли	я в ӑ ҫ т а р м а л л и 
Ҫуркуннеччен	ҫ у р к у н н е ч ч е н 
ҫамрӑксенчен	ҫ а м р ӑ к с е н ч е н 
ҫапкаланчӑка	ҫ а п к а л а н ч ӑ к а 
ҫирӗплетесси	ҫ и р ӗ п л е т е с с и 
ҫирӗплетеҫҫӗ	ҫ и р ӗ п л е т е ҫ ҫ ӗ 
ҫитменлӗхсем	ҫ и т м е н л ӗ х с е м 
ҫулсенчисене	ҫ у л с е н ч и с е н е 
ҫуралнӑранпа	ҫ у р а л н ӑ р а н п а 
ҫуралнӑскере	ҫ у р а л н ӑ с к е р е 
ҫуратаслӑхӑн	ҫ у р а т а с л ӑ х ӑ н 
ҫутҫанталӑка	ҫ у т ҫ а н т а л ӑ к а 
ҫырсатухусем	ҫ ы р с а т у х у с е м 
ҫырулӑхӗнчен	ҫ ы р у л ӑ х ӗ н ч е н 
ҫырӑнакансем	ҫ ы р ӑ н а к а н с е м 
ҫӗнтерӳҫӗсем	ҫ ӗ н т е р ӳ ҫ ӗ с е м 
ҫӳреттересси	ҫ ӳ р е т т е р е с с и 
ҫӳҫентерекен	ҫ ӳ ҫ е н т е р е к е н 
